001: 00
0101: 01
0110: 02
0111: 03
0001: 04
000010: 05
0100011000011010: 06
0100011000011011: 07
01001: 08
0100011000011100: 09
01000111: 0a
0100011000011101: 0b
0100011000011110: 0c
0100011000011111: 0d
0100011000100000: 0e
0100011000100001: 0f
0100011000100010: 10
1: 11
0100011000100011: 12
0100011000100100: 13
0100011000100101: 14
0100011000100110: 15
0100011000100111: 16
0100011000101000: 17
0100011000101001: 18
0100011000101010: 19
0100011000101011: 1a
0100011000101100: 1b
0100011000101101: 1c
0100011000101110: 1d
0100011000101111: 1e
0100011000110000: 1f
0100011000110001: 20
0100011000110010: 21
0100011000110011: 22
0100011000110100: 23
0100011000110101: 24
0100011000110110: 25
0100011000110111: 26
0100011000111000: 27
0100011000111001: 28
0100011000111010: 29
0100011000111011: 2a
0100011000111100: 2b
0100011000111101: 2c
0100011000111110: 2d
0100011000111111: 2e
0100011001000000: 2f
0100011001000001: 30
0100011001000010: 31
0100011001000011: 32
0100011001000100: 33
0100011001000101: 34
0100011001000110: 35
0100011001000111: 36
0100011001001000: 37
0100011001001001: 38
0100011001001010: 39
0100011001001011: 3a
0100011001001100: 3b
0100011001001101: 3c
0100011001001110: 3d
0100011001001111: 3e
0100011001010000: 3f
0100011001010001: 40
0100011001010010: 41
0100011001010011: 42
0100011001010100: 43
0100011001010101: 44
0100011001010110: 45
0100011001010111: 46
0100011001011000: 47
0100011001011001: 48
0100011001011010: 49
0100011001011011: 4a
0100011001011100: 4b
0100011001011101: 4c
0100011001011110: 4d
0100011001011111: 4e
0100011001100000: 4f
0100011001100001: 50
0100011001100010: 51
0100011001100011: 52
0100011001100100: 53
0100011001100101: 54
0100011001100110: 55
0100011001100111: 56
0100011001101000: 57
0100011001101001: 58
0100011001101010: 59
0100011001101011: 5a
0100011001101100: 5b
0100011001101101: 5c
0100011001101110: 5d
0100011001101111: 5e
0100011001110000: 5f
0100011001110001: 60
0100011001110010: 61
0100011001110011: 62
0100011001110100: 63
0100011001110101: 64
0100011001110110: 65
0100011001110111: 66
0100011001111000: 67
0100011001111001: 68
0100011001111010: 69
0100011001111011: 6a
0100011001111100: 6b
0100011001111101: 6c
0100011001111110: 6d
0100011001111111: 6e
0100011010000000: 6f
0100011010000001: 70
0100011010000010: 71
0100011010000011: 72
0100011010000100: 73
0100011010000101: 74
0100011010000110: 75
0100011010000111: 76
0100011010001000: 77
0100011010001001: 78
0100011010001010: 79
0100011010001011: 7a
0100011010001100: 7b
0100011010001101: 7c
0100011010001110: 7d
0100011010001111: 7e
0100011010010000: 7f
0100011010010001: 80
0100011010010010: 81
0100011010010011: 82
0100011010010100: 83
0100011010010101: 84
0100011010010110: 85
0100011010010111: 86
0100011010011000: 87
0100011010011001: 88
0100011010011010: 89
0100011010011011: 8a
0100011010011100: 8b
0100011010011101: 8c
0100011010011110: 8d
0100011010011111: 8e
0100011010100000: 8f
0100011010100001: 90
0100011010100010: 91
0100011010100011: 92
0100011010100100: 93
0100011010100101: 94
0100011010100110: 95
0100011010100111: 96
0100011010101000: 97
0100011010101001: 98
0100011010101010: 99
0100011010101011: 9a
0100011010101100: 9b
0100011010101101: 9c
0100011010101110: 9d
0100011010101111: 9e
0100011010110000: 9f
0100011010110001: a0
0100011010110010: a1
0100011010110011: a2
0100011010110100: a3
0100011010110101: a4
0100011010110110: a5
0100011010110111: a6
0100011010111000: a7
0100011010111001: a8
0100011010111010: a9
0100011010111011: aa
0100011010111100: ab
0100011010111101: ac
0100011010111110: ad
000011: ae
0100011010111111: af
0100011011000000: b0
0100011011000001: b1
0100011011000010: b2
0100011011000011: b3
0100011011000100: b4
0100011011000101: b5
0100011011000110: b6
0100011011000111: b7
0100011011001000: b8
0100011011001001: b9
0100010: ba
0100011011001010: bb
0100011011001011: bc
0100011011001100: bd
0100011011001101: be
0100011011001110: bf
0100011011001111: c0
0100011011010000: c1
0100011011010001: c2
0100011011010010: c3
0100011011010011: c4
0100011011010100: c5
0100011011010101: c6
0100011011010110: c7
0100011011010111: c8
0100011011011000: c9
0100011011011001: ca
0100011011011010: cb
0100011011011011: cc
0100011011011100: cd
0100011011011101: ce
0100011011011110: cf
0100011011011111: d0
0100011011100000: d1
0100011011100001: d2
0100011011100010: d3
0100011011100011: d4
0100011011100100: d5
0100011011100101: d6
0100011011100110: d7
0100011011100111: d8
0100011011101000: d9
0100011011101001: da
0100011011101010: db
0100011011101011: dc
0100011011101100: dd
0100011011101101: de
0100011011101110: df
0100011011101111: e0
0100011011110000: e1
0100011011110001: e2
0100011011110010: e3
0100011011110011: e4
0100011011110100: e5
0100011011110101: e6
0100011011110110: e7
0100011011110111: e8
0100011011111000: e9
0100011011111001: ea
0100011011111010: eb
0100011011111011: ec
0100011011111100: ed
0100011011111101: ee
0100011011111110: ef
0100011011111111: f0
010001100000000: f1
010001100000001: f2
010001100000010: f3
010001100000011: f4
010001100000100: f5
010001100000101: f6
010001100000110: f7
010001100000111: f8
010001100001000: f9
010001100001001: fa
010001100001010: fb
010001100001011: fc
010001100001100: fd
00000: fe
010000: ff
