0110: 00
1000010: 01
110: 02
10110001: 03
1000011: 04
10110100: 05
01000010: 06
1000100: 07
100000: 08
101001: 09
1011000011: 0a
101100001010101100: 0b
111101: 0c
1001: 0d
11100: 0e
00011: 0f
111100: 10
111110: 11
11101: 12
101100001010101101: 13
1011001: 14
101100001010101110: 15
101100001010101111: 16
101100001010110000: 17
101100001010110001: 18
101100001010110010: 19
001100: 1a
101100001010110011: 1b
101100001010110100: 1c
101100001010110101: 1d
101100001010110110: 1e
101100001010110111: 1f
101100001010111000: 20
101100001010111001: 21
1000101: 22
101100001010111010: 23
010011110: 24
101100001010111011: 25
0001011: 26
101100001010111100: 27
101100001010111101: 28
101100001010111110: 29
0011100: 2a
101100001010111111: 2b
010011111: 2c
101100001011000000: 2d
101100001011000001: 2e
101100001011000010: 2f
101100001011000011: 30
101100001011000100: 31
1000110: 32
001101: 33
101100001011000101: 34
101100001011000110: 35
101100001011000111: 36
101100001011001000: 37
0011101: 38
101100001011001001: 39
1000111: 3a
101100001011001010: 3b
101100001011001011: 3c
101100001011001100: 3d
10110101: 3e
101100001011001101: 3f
010100000: 40
101100001011001110: 41
10110110: 42
101100001011001111: 43
101100001011010000: 44
101100001011010001: 45
101100001011010010: 46
101100001011010011: 47
010100001: 48
101100001011010100: 49
0011110: 4a
101100001011010101: 4b
010100010: 4c
101100001011010110: 4d
101100001011010111: 4e
101100001011011000: 4f
01111: 50
101100001011011001: 51
010100011: 52
101100001011011010: 53
101100001011011011: 54
10101: 55
101100001011011100: 56
101100001011011101: 57
101100001011011110: 58
101100001011011111: 59
00101: 5a
101100001011100000: 5b
10110111: 5c
101100001011100001: 5d
010100100: 5e
101100001011100010: 5f
010100101: 60
101100001011100011: 61
101100001011100100: 62
101100001011100101: 63
101100001011100110: 64
101100001011100111: 65
101100001011101000: 66
101100001011101001: 67
00100: 68
101100001011101010: 69
101100001011101011: 6a
101100001011101100: 6b
010100110: 6c
101100001011101101: 6d
010100111: 6e
101100001011101110: 6f
101100001011101111: 70
101100001011110000: 71
10111000: 72
101100001011110001: 73
101100001011110010: 74
101100001011110011: 75
01000011: 76
101100001011110100: 77
010101000: 78
101100001011110101: 79
01000100: 7a
101100001011110110: 7b
101100001011110111: 7c
101100001011111000: 7d
000010: 7e
101100001011111001: 7f
01011: 80
101100001011111010: 81
101100001011111011: 82
101100001011111100: 83
000011: 84
101100001011111101: 85
101100001011111110: 86
101100001011111111: 87
10110000100000000: 88
10110000100000001: 89
111111: 8a
10110000100000010: 8b
10111001: 8c
10110000100000011: 8d
010101001: 8e
10110000100000100: 8f
10110000100000101: 90
10110000100000110: 91
10110000100000111: 92
10110000100001000: 93
1010000: 94
10110000100001001: 95
01000101: 96
10110000100001010: 97
10110000100001011: 98
10110000100001100: 99
10111010: 9a
10110000100001101: 9b
10111011: 9c
10110000100001110: 9d
10110000100001111: 9e
10110000100010000: 9f
10110000100010001: a0
10110000100010010: a1
010101010: a2
10110000100010011: a3
01000110: a4
10110000100010100: a5
10110000100010101: a6
10110000100010110: a7
01000111: a8
10110000100010111: a9
010101011: aa
10110000100011000: ab
10110000100011001: ac
10110000100011010: ad
01110: ae
10110000100011011: af
10110000100011100: b0
10110000100011101: b1
1010001: b2
10110000100011110: b3
0011111: b4
10110000100011111: b5
10110000100100000: b6
10110000100100001: b7
010101100: b8
10110000100100010: b9
01001000: ba
10110000100100011: bb
10110000100100100: bc
10110000100100101: bd
0100000: be
10110000100100110: bf
01001001: c0
10110000100100111: c1
10110000100101000: c2
10110000100101001: c3
01001010: c4
10110000100101010: c5
10110000100101011: c6
10110000100101100: c7
10110000100101101: c8
10110000100101110: c9
10110000100101111: ca
10110000100110000: cb
10110000100110001: cc
10110000100110010: cd
10110000100110011: ce
10110000100110100: cf
10111100: d0
10110000100110101: d1
10111101: d2
10110000100110110: d3
10110000100110111: d4
10110000100111000: d5
10110000100111001: d6
10110000100111010: d7
01001011: d8
10110000100111011: d9
01001100: da
10110000100111100: db
10110000100111101: dc
10110000100111110: dd
10110000100111111: de
10110000101000000: df
010101101: e0
10110000101000001: e1
01001101: e2
10110000101000010: e3
010101110: e4
10110000101000011: e5
010101111: e6
10110000101000100: e7
10110000101000101: e8
10110000101000110: e9
10110000101000111: ea
10110000101001000: eb
10110000101001001: ec
10110000101001010: ed
10110000101001011: ee
10110000101001100: ef
10110000101001101: f0
10110000101001110: f1
10111110: f2
10110000101001111: f3
101100000: f4
10110000101010000: f5
10111111: f6
10110000101010001: f7
000100: f8
10110000101010010: f9
01001110: fa
10110000101010011: fb
10110000101010100: fc
10110000101010101: fd
0001010: fe
00000: ff
