0011: 00
10101: 01
1111: 02
100: 03
01: 04
111011001: 05
11101100000110100: 06
11101100000110101: 07
11101101: 08
11101100000110110: 09
0000: 0a
11101100000110111: 0b
11101100000111000: 0c
11101100000111001: 0d
11101100000111010: 0e
11101100000111011: 0f
0001: 10
1011: 11
11101100000111100: 12
11101100000111101: 13
11101100000111110: 14
11101100000111111: 15
11101100001000000: 16
11101100001000001: 17
11101100001000010: 18
11101100001000011: 19
11000: 1a
11101100001000100: 1b
11101100001000101: 1c
11101100001000110: 1d
11101100001000111: 1e
11101100001001000: 1f
11101100001001001: 20
11101100001001010: 21
11101100001001011: 22
11101100001001100: 23
11101100001001101: 24
11101100001001110: 25
11101100001001111: 26
11101100001010000: 27
11101100001010001: 28
11101100001010010: 29
11101100001010011: 2a
11101100001010100: 2b
11101100001010101: 2c
11101100001010110: 2d
11101100001010111: 2e
11101100001011000: 2f
11101100001011001: 30
11101100001011010: 31
11101100001011011: 32
111010: 33
11101100001011100: 34
11101100001011101: 35
11101100001011110: 36
11101100001011111: 37
10100000: 38
11101100001100000: 39
11101100001100001: 3a
11101100001100010: 3b
11101100001100011: 3c
11101100001100100: 3d
11101100001100101: 3e
11101100001100110: 3f
11101100001100111: 40
11101100001101000: 41
11101100001101001: 42
11101100001101010: 43
11101100001101011: 44
11101100001101100: 45
11101100001101101: 46
11101100001101110: 47
11101100001101111: 48
11101100001110000: 49
11101100001110001: 4a
11101100001110010: 4b
11101100001110011: 4c
11101100001110100: 4d
11101100001110101: 4e
11101100001110110: 4f
11101100001110111: 50
11101100001111000: 51
11001: 52
11101100001111001: 53
11101100001111010: 54
11101100001111011: 55
11101100001111100: 56
11101100001111101: 57
11101100001111110: 58
11101100001111111: 59
11101100010000000: 5a
11101100010000001: 5b
11101100010000010: 5c
11101100010000011: 5d
11101100010000100: 5e
11101100010000101: 5f
11101100010000110: 60
11101100010000111: 61
11101100010001000: 62
11101100010001001: 63
10100001: 64
11101100010001010: 65
11101100010001011: 66
11101100010001100: 67
11101100010001101: 68
11101100010001110: 69
11101100010001111: 6a
11101100010010000: 6b
11101100010010001: 6c
11101100010010010: 6d
11101100010010011: 6e
11101100010010100: 6f
0010: 70
11101100010010101: 71
11101100010010110: 72
11101100010010111: 73
11101100010011000: 74
11101100010011001: 75
11101100010011010: 76
11101100010011011: 77
11101100010011100: 78
11101100010011101: 79
11101100010011110: 7a
11101100010011111: 7b
11101100010100000: 7c
11101100010100001: 7d
11101100010100010: 7e
11101100010100011: 7f
10100010: 80
11101100010100100: 81
11101100010100101: 82
11101100010100110: 83
11101100010100111: 84
11101100010101000: 85
11101100010101001: 86
11101100010101010: 87
11101100010101011: 88
11101100010101100: 89
11101100010101101: 8a
11101100010101110: 8b
11010: 8c
11101100010101111: 8d
11101100010110000: 8e
11101100010110001: 8f
11101100010110010: 90
11101100010110011: 91
10100011: 92
11101100010110100: 93
11101100010110101: 94
11101100010110110: 95
11101100010110111: 96
11101100010111000: 97
10100100: 98
11101100010111001: 99
11101100010111010: 9a
11101100010111011: 9b
11101100010111100: 9c
11101100010111101: 9d
11101100010111110: 9e
11101100010111111: 9f
11101100011000000: a0
11101100011000001: a1
11101100011000010: a2
11101100011000011: a3
11101100011000100: a4
11101100011000101: a5
11101100011000110: a6
11101100011000111: a7
11101100011001000: a8
11101100011001001: a9
11101100011001010: aa
11101100011001011: ab
11101100011001100: ac
11101100011001101: ad
11101110: ae
11101100011001110: af
11101100011001111: b0
11101100011010000: b1
11101100011010001: b2
11101100011010010: b3
11011: b4
11101100011010011: b5
11101100011010100: b6
11101100011010101: b7
11101100011010110: b8
11101100011010111: b9
10100101: ba
11101100011011000: bb
11101100011011001: bc
11101100011011010: bd
11101100011011011: be
11101100011011100: bf
11101100011011101: c0
11101100011011110: c1
11101100011011111: c2
11101100011100000: c3
11101100011100001: c4
11101100011100010: c5
11101100011100011: c6
11101100011100100: c7
11101100011100101: c8
11101100011100110: c9
11101100011100111: ca
11101100011101000: cb
11101100011101001: cc
11101100011101010: cd
11101100011101011: ce
11101100011101100: cf
11101100011101101: d0
11101100011101110: d1
11101100011101111: d2
11101100011110000: d3
11101100011110001: d4
11101100011110010: d5
11101100011110011: d6
11101100011110100: d7
11101100011110101: d8
11101100011110110: d9
11101100011110111: da
11101100011111000: db
11101100011111001: dc
11101100011111010: dd
11101100011111011: de
11101100011111100: df
11101100011111101: e0
11101100011111110: e1
11100: e2
11101100011111111: e3
1110110000000000: e4
1110110000000001: e5
1110110000000010: e6
1110110000000011: e7
1110110000000100: e8
1110110000000101: e9
1110110000000110: ea
1110110000000111: eb
1110110000001000: ec
1110110000001001: ed
1110110000001010: ee
1110110000001011: ef
1110110000001100: f0
1110110000001101: f1
1110110000001110: f2
1110110000001111: f3
1110110000010000: f4
1110110000010001: f5
1110110000010010: f6
1110110000010011: f7
1110110000010100: f8
1110110000010101: f9
1110110000010110: fa
1110110000010111: fb
1110110000011000: fc
1110110000011001: fd
1010011: fe
11101111: ff
