001: 00
01010000101000: 01
11: 02
01011: 03
010101: 04
01010000101001: 05
01010000101010: 06
01010000101011: 07
101010: 08
01010000101100: 09
01010000101101: 0a
01010000101110: 0b
01010000101111: 0c
01010000110000: 0d
01010000110001: 0e
01010000110010: 0f
01010000110011: 10
101011: 11
01010000110100: 12
01010000110101: 13
01010000110110: 14
01010000110111: 15
01010000111000: 16
01010000111001: 17
01010000111010: 18
01010000111011: 19
01010000111100: 1a
01010000111101: 1b
01010000111110: 1c
01010000111111: 1d
101100: 1e
01010001000000: 1f
01010001000001: 20
01010001000010: 21
01010001000011: 22
01010001000100: 23
01010001000101: 24
01010001000110: 25
01010001000111: 26
01010001001000: 27
01010001001001: 28
01010001001010: 29
01010001001011: 2a
01010001001100: 2b
01010001001101: 2c
01010001001110: 2d
01010001001111: 2e
01010001010000: 2f
01010001010001: 30
01010001010010: 31
01010001010011: 32
1000: 33
01010001010100: 34
01010001010101: 35
01010001010110: 36
01010001010111: 37
10010: 38
01010001011000: 39
01010001011001: 3a
01010001011010: 3b
01010001011011: 3c
01010001011100: 3d
01010001011101: 3e
01010001011110: 3f
01010001011111: 40
01010001100000: 41
01010001100001: 42
01010001100010: 43
01010001100011: 44
01010001100100: 45
011: 46
01010001100101: 47
01010001100110: 48
01010001100111: 49
01010001101000: 4a
01010001101001: 4b
01010001101010: 4c
01010001101011: 4d
01010001101100: 4e
01010001101101: 4f
01010001101110: 50
01010001101111: 51
01010001110000: 52
01010001110001: 53
01010001110010: 54
01010001110011: 55
01010001110100: 56
01010001110101: 57
10011: 58
01010001110110: 59
01010001110111: 5a
01010001111000: 5b
01010001111001: 5c
01010001111010: 5d
01010001111011: 5e
01010001111100: 5f
01010001111101: 60
01010001111110: 61
01010001111111: 62
01010010000000: 63
01010010000001: 64
01010010000010: 65
01010010000011: 66
01010010000100: 67
101101: 68
01010010000101: 69
01010010000110: 6a
01010010000111: 6b
01010010001000: 6c
01010010001001: 6d
01010010001010: 6e
01010010001011: 6f
01010010001100: 70
01010010001101: 71
01010010001110: 72
01010010001111: 73
01010010010000: 74
01010010010001: 75
01010010010010: 76
01010010010011: 77
01010010010100: 78
01010010010101: 79
01010010010110: 7a
01010010010111: 7b
01010010011000: 7c
01010010011001: 7d
01010010011010: 7e
01010010011011: 7f
01010010011100: 80
01010010011101: 81
01010010011110: 82
01010010011111: 83
01010010100000: 84
01010010100001: 85
01010010100010: 86
01010010100011: 87
01010010100100: 88
01010010100101: 89
01010010100110: 8a
01010010100111: 8b
01010010101000: 8c
01010010101001: 8d
01010010101010: 8e
01010010101011: 8f
01010010101100: 90
01010010101101: 91
01010010101110: 92
01010010101111: 93
01010010110000: 94
01010010110001: 95
01010010110010: 96
01010010110011: 97
01010010110100: 98
01010010110101: 99
101110: 9a
01010010110110: 9b
01010010110111: 9c
01010010111000: 9d
01010010111001: 9e
01010010111010: 9f
01010010111011: a0
01010010111100: a1
01010010111101: a2
01010010111110: a3
01010010111111: a4
01010011000000: a5
01010011000001: a6
01010011000010: a7
01010011000011: a8
01010011000100: a9
01010011000101: aa
01010011000110: ab
01010011000111: ac
01010011001000: ad
01010011001001: ae
01010011001010: af
01010011001011: b0
01010011001100: b1
01010011001101: b2
01010011001110: b3
101111: b4
01010011001111: b5
01010011010000: b6
01010011010001: b7
01010011010010: b8
01010011010011: b9
01010011010100: ba
01010011010101: bb
01010011010110: bc
01010011010111: bd
01010011011000: be
01010011011001: bf
01010011011010: c0
01010011011011: c1
01010011011100: c2
01010011011101: c3
01010011011110: c4
01010011011111: c5
01010011100000: c6
01010011100001: c7
01010011100010: c8
01010011100011: c9
01010011100100: ca
01010011100101: cb
00000: cc
01010011100110: cd
01010011100111: ce
01010011101000: cf
01010011101001: d0
01010011101010: d1
01010011101011: d2
01010011101100: d3
01010011101101: d4
01010011101110: d5
01010011101111: d6
01010011110000: d7
01010011110001: d8
01010011110010: d9
01010011110011: da
01010011110100: db
01010011110101: dc
01010011110110: dd
00001: de
01010011110111: df
01010011111000: e0
01010011111001: e1
01010011111010: e2
01010011111011: e3
01010011111100: e4
01010011111101: e5
01010011111110: e6
01010011111111: e7
00010: e8
0101000000000: e9
0101000000001: ea
0101000000010: eb
0101000000011: ec
0101000000100: ed
00011: ee
0101000000101: ef
0101000000110: f0
0101000000111: f1
0101000001000: f2
0101000001001: f3
0101000001010: f4
0101000001011: f5
0101000001100: f6
0101000001101: f7
0101000001110: f8
0101000001111: f9
0101000010000: fa
0101000010001: fb
0101000010010: fc
0101000010011: fd
10100: fe
0100: ff
