00001: 00
111001001101001111000: 01
11011: 02
00000: 03
10: 04
1111: 05
1100: 06
1110010010: 07
01: 08
111001001101001111001: 09
111001001101001111010: 0a
111001001101001111011: 0b
00101010: 0c
111001001101001111100: 0d
111001001101001111101: 0e
111001001101001111110: 0f
111001001101001111111: 10
110100: 11
111001001101010000000: 12
111001001101010000001: 13
00111111: 14
111001001101010000010: 15
111001001101010000011: 16
111001001101010000100: 17
1110011: 18
111001001101010000101: 19
111001001101010000110: 1a
111001001101010000111: 1b
111001001101010001000: 1c
111001001101010001001: 1d
111001001101010001010: 1e
111001001101010001011: 1f
00101011: 20
111001001101010001100: 21
111001001101010001101: 22
111001001101010001110: 23
111001001101010001111: 24
111001001101010010000: 25
0001000: 26
111001001101010010001: 27
111001001101010010010: 28
111001001101010010011: 29
111001001101010010100: 2a
111001001101010010101: 2b
111001001101010010110: 2c
111001001101010010111: 2d
111001001101010011000: 2e
111001001101010011001: 2f
0001001: 30
111001001101010011010: 31
00101100: 32
111001001101010011011: 33
111001001101010011100: 34
111001001101010011101: 35
111001001101010011110: 36
111001001101010011111: 37
0001010: 38
111001001101010100000: 39
111001001101010100001: 3a
111001001101010100010: 3b
111001001101010100011: 3c
111001001101010100100: 3d
00101101: 3e
111001001101010100101: 3f
1110100: 40
111001001101010100110: 41
111001001101010100111: 42
111001001101010101000: 43
111001001101010101001: 44
111001001101010101010: 45
111001001101010101011: 46
111001001101010101100: 47
111001001101010101101: 48
111001001101010101110: 49
111001001101010101111: 4a
111001001101010110000: 4b
111001001101010110001: 4c
111001001101010110010: 4d
111001001101010110011: 4e
111001001101010110100: 4f
00101110: 50
111001001101010110101: 51
0001011: 52
111001001101010110110: 53
111001001101010110111: 54
111001001101010111000: 55
00101111: 56
111001001101010111001: 57
111001001101010111010: 58
111001001101010111011: 59
111001001101010111100: 5a
111001001101010111101: 5b
111001001101010111110: 5c
111001001101010111111: 5d
1110101: 5e
111001001101011000000: 5f
111001001101011000001: 60
111001001101011000010: 61
111001001101011000011: 62
111001001101011000100: 63
0001100: 64
111001001101011000101: 65
111001001101011000110: 66
111001001101011000111: 67
111001001101011001000: 68
111001001101011001001: 69
1110110: 6a
111001001101011001010: 6b
00110000: 6c
111001001101011001011: 6d
111001001101011001100: 6e
111001001101011001101: 6f
111001001101011001110: 70
111001001101011001111: 71
111001001101011010000: 72
111001001101011010001: 73
11100100111: 74
111001001101011010010: 75
111001001101011010011: 76
111001001101011010100: 77
111001001101011010101: 78
111001001101011010110: 79
00110001: 7a
111001001101011010111: 7b
00110010: 7c
111001001101011011000: 7d
111001001101011011001: 7e
111001001101011011010: 7f
111001001101011011011: 80
111001001101011011100: 81
1101011: 82
111001001101011011101: 83
111001001101011011110: 84
111001001101011011111: 85
0001101: 86
111001001101011100000: 87
00110011: 88
111001001101011100001: 89
111001001101011100010: 8a
111001001101011100011: 8b
0001110: 8c
111001001101011100100: 8d
111001001101011100101: 8e
111001001101011100110: 8f
111001001101011100111: 90
111001001101011101000: 91
00110100: 92
111001001101011101001: 93
0001111: 94
111001001101011101010: 95
0010000: 96
111001001101011101011: 97
111001001101011101100: 98
111001001101011101101: 99
1110000: 9a
111001001101011101110: 9b
111001001101011101111: 9c
111001001101011110000: 9d
111001001101011110001: 9e
111001001101011110010: 9f
00110101: a0
111001001101011110011: a1
00110110: a2
111001001101011110100: a3
00110111: a4
111001001101011110101: a5
111001001101011110110: a6
111001001101011110111: a7
11010100: a8
111001001101011111000: a9
111001001101011111001: aa
111001001101011111010: ab
111001001101011111011: ac
111001001101011111100: ad
111001001101011111101: ae
111001001101011111110: af
1110111: b0
111001001101011111111: b1
00111000: b2
11100100110100000000: b3
1110001: b4
11100100110100000001: b5
11100100110100000010: b6
11100100110100000011: b7
11100100110100000100: b8
11100100110100000101: b9
11100100110100000110: ba
11100100110100000111: bb
00111001: bc
11100100110100001000: bd
11100100110100001001: be
11100100110100001010: bf
11100100110100001011: c0
11100100110100001100: c1
00111010: c2
11100100110100001101: c3
00111011: c4
11100100110100001110: c5
11100100110100001111: c6
11100100110100010000: c7
11100100110100010001: c8
11100100110100010010: c9
0010001: ca
11100100110100010011: cb
0010010: cc
11100100110100010100: cd
11100100110100010101: ce
11100100110100010110: cf
11100100110100010111: d0
11100100110100011000: d1
11100100110100011001: d2
11100100110100011010: d3
11100100110100011011: d4
11100100110100011100: d5
11100100110100011101: d6
11100100110100011110: d7
1110010000: d8
11100100110100011111: d9
11100100110100100000: da
11100100110100100001: db
00111100: dc
11100100110100100010: dd
11100100110100100011: de
11100100110100100100: df
11100100110100100101: e0
11100100110100100110: e1
11100100110100100111: e2
11100100110100101000: e3
11100100110100101001: e4
11100100110100101010: e5
11100100110100101011: e6
11100100110100101100: e7
0010011: e8
11100100110100101101: e9
00111101: ea
11100100110100101110: eb
11100100110100101111: ec
11100100110100110000: ed
11010101: ee
11100100110100110001: ef
11100100110100110010: f0
11100100110100110011: f1
11100101: f2
11100100110100110100: f3
1110010001: f4
11100100110100110101: f5
11100100110100110110: f6
11100100110100110111: f7
00111110: f8
11100100110100111000: f9
11100100110100111001: fa
11100100110100111010: fb
0010100: fc
11100100110100111011: fd
1110010011011: fe
111001001100: ff
