0100: 00
1011011: 01
0110: 02
10011: 03
100101: 04
110: 05
00: 06
101101010: 07
10110010: 08
10110101101001010110: 09
10110101101001010111: 0a
10110101101001011000: 0b
10110101101001011001: 0c
10110101101001011010: 0d
10110101101001011011: 0e
10110101101001011100: 0f
10110101101001011101: 10
1010: 11
10110101101001011110: 12
10110101101001011111: 13
010110: 14
10110101101001100000: 15
10110101101001100001: 16
10110101101001100010: 17
01110: 18
10110101101001100011: 19
10110101101001100100: 1a
10110101101001100101: 1b
10110101101001100110: 1c
10110101101001100111: 1d
10110101101001101000: 1e
10110101101001101001: 1f
1110100: 20
10110101101001101010: 21
10110101101001101011: 22
10110101101001101100: 23
10110101101001101101: 24
10110101101001101110: 25
1110101: 26
10110101101001101111: 27
10110101101001110000: 28
10110101101001110001: 29
10110101101001110010: 2a
10110101101001110011: 2b
10110101101001110100: 2c
10110101101001110101: 2d
10110101101001110110: 2e
10110101101001110111: 2f
10110101101001111000: 30
10110101101001111001: 31
1110110: 32
1011000: 33
10110101101001111010: 34
10110101101001111011: 35
10110101101001111100: 36
10110101101001111101: 37
1110111: 38
10110101101001111110: 39
10110101101001111111: 3a
10110101101010000000: 3b
10110101101010000001: 3c
10110101101010000010: 3d
10110101101010000011: 3e
10110101101010000100: 3f
01111: 40
10110101101010000101: 41
10110101101010000110: 42
10110101101010000111: 43
10110101101010001000: 44
10110101101010001001: 45
10110101101010001010: 46
10110101101010001011: 47
10110101101010001100: 48
10110101101010001101: 49
10110101101010001110: 4a
10110101101010001111: 4b
10110101101010010000: 4c
10110101101010010001: 4d
10110101101010010010: 4e
10110101101010010011: 4f
1111000: 50
10110101101010010100: 51
10110101101010010101: 52
10110101101010010110: 53
10110101101010010111: 54
10110101101010011000: 55
1111001: 56
10110101101010011001: 57
10110101101010011010: 58
10110101101010011011: 59
10110101101010011100: 5a
10110101101010011101: 5b
10110101101010011110: 5c
10110101101010011111: 5d
10000: 5e
10110101101010100000: 5f
10110101101010100001: 60
10110101101010100010: 61
10110101101010100011: 62
10110101101010100100: 63
10110101101010100101: 64
10110101101010100110: 65
10110101101010100111: 66
10110101101010101000: 67
10110101101010101001: 68
10110101101010101010: 69
100100: 6a
10110101101010101011: 6b
10110101101010101100: 6c
10110101101010101101: 6d
10110101101010101110: 6e
10110101101010101111: 6f
10110101101010110000: 70
10110101101010110001: 71
10110101101010110010: 72
10110101101010110011: 73
1011010111: 74
10110101101010110100: 75
10110101101010110101: 76
10110101101010110110: 77
10110101101010110111: 78
10110101101010111000: 79
1111010: 7a
10110101101010111001: 7b
10110101101010111010: 7c
10110101101010111011: 7d
10110101101010111100: 7e
10110101101010111101: 7f
10110101101010111110: 80
10110101101010111111: 81
1111011: 82
10110101101011000000: 83
10110101101011000001: 84
10110101101011000010: 85
1111100: 86
10110101101011000011: 87
10110101101011000100: 88
10110101101011000101: 89
10110101101011000110: 8a
10110101101011000111: 8b
1111101: 8c
10110101101011001000: 8d
10110101101011001001: 8e
10110101101011001010: 8f
10110101101011001011: 90
10110101101011001100: 91
1111110: 92
10110101101011001101: 93
101110: 94
10110101101011001110: 95
1111111: 96
10110101101011001111: 97
10110101101011010000: 98
10110101101011010001: 99
010100: 9a
10110101101011010010: 9b
10110101101011010011: 9c
10110101101011010100: 9d
10110101101011010101: 9e
10110101101011010110: 9f
010101: a0
10110101101011010111: a1
10110101101011011000: a2
10110101101011011001: a3
10110101101011011010: a4
10110101101011011011: a5
10110101101011011100: a6
10110101101011011101: a7
101100110: a8
10110101101011011110: a9
10110101101011011111: aa
10110101101011100000: ab
10110101101011100001: ac
10110101101011100010: ad
10110101101011100011: ae
10110101101011100100: af
10001: b0
10110101101011100101: b1
10110101101011100110: b2
10110101101011100111: b3
101111: b4
10110101101011101000: b5
10110101101011101001: b6
10110101101011101010: b7
10110101101011101011: b8
10110101101011101100: b9
10110101101011101101: ba
10110101101011101110: bb
10110101101011101111: bc
10110101101011110000: bd
10110101101011110001: be
10110101101011110010: bf
10110101101011110011: c0
10110101101011110100: c1
10110101101011110101: c2
10110101101011110110: c3
10110101101011110111: c4
10110101101011111000: c5
10110101101011111001: c6
10110101101011111010: c7
10110101101011111011: c8
10110101101011111100: c9
111000: ca
10110101101011111101: cb
10110101101011111110: cc
10110101101011111111: cd
1011010110100000000: ce
1011010110100000001: cf
1011010110100000010: d0
1011010110100000011: d1
1011010110100000100: d2
1011010110100000101: d3
1011010110100000110: d4
1011010110100000111: d5
1011010110100001000: d6
1011010110100001001: d7
101100111: d8
1011010110100001010: d9
1011010110100001011: da
1011010110100001100: db
1011010110100001101: dc
1011010110100001110: dd
1011010110100001111: de
1011010110100010000: df
1011010110100010001: e0
1011010110100010010: e1
1011010110100010011: e2
1011010110100010100: e3
1011010110100010101: e4
1011010110100010110: e5
1011010110100010111: e6
1011010110100011000: e7
111001: e8
1011010110100011001: e9
1011010110100011010: ea
1011010110100011011: eb
1011010110100011100: ec
1011010110100011101: ed
101101000: ee
1011010110100011110: ef
1011010110100011111: f0
1011010110100100000: f1
010111: f2
1011010110100100001: f3
101101001: f4
1011010110100100010: f5
1011010110100100011: f6
1011010110100100100: f7
1011010110100100101: f8
1011010110100100110: f9
1011010110100100111: fa
1011010110100101000: fb
1011010110100101001: fc
1011010110100101010: fd
101101011011: fe
10110101100: ff
