110010: 00
11001111110000111000: 01
111: 02
1101: 03
01: 04
11001111110000111001: 05
11001111110000111010: 06
11001111110000111011: 07
10: 08
11001111110000111100: 09
11001111110000111101: 0a
11001111110000111110: 0b
11001111110000111111: 0c
11001111110001000000: 0d
11001111110001000001: 0e
11001111110001000010: 0f
11001111110001000011: 10
11001110: 11
11001111110001000100: 12
11001111110001000101: 13
110011111101: 14
11001111110001000110: 15
11001111110001000111: 16
11001111110001001000: 17
00010: 18
11001111110001001001: 19
11001111110001001010: 1a
11001111110001001011: 1b
11001111110001001100: 1c
11001111110001001101: 1d
11001111110001001110: 1e
11001111110001001111: 1f
11001111110001010000: 20
11001111110001010001: 21
0010: 22
11001111110001010010: 23
11001111110001010011: 24
11001111110001010100: 25
11001111110001010101: 26
11001111110001010110: 27
110011111110: 28
11001111110001010111: 29
11001111110001011000: 2a
11001111110001011001: 2b
11001111110001011010: 2c
11001111110001011011: 2d
11001111110001011100: 2e
11001111110001011101: 2f
11001111110001011110: 30
11001111110001011111: 31
110011111111: 32
11001111110001100000: 33
11001111110001100001: 34
11001111110001100010: 35
11001111110001100011: 36
11001111110001100100: 37
1100111101: 38
11001111110001100101: 39
11001111110001100110: 3a
11001111110001100111: 3b
11001101000: 3c
11001111110001101000: 3d
11001111110001101001: 3e
11001111110001101010: 3f
11001111110001101011: 40
11001111110001101100: 41
11001111110001101101: 42
11001111110001101110: 43
11001111110001101111: 44
11001111110001110000: 45
11001111110001110001: 46
11001111110001110010: 47
11001111110001110011: 48
11001111110001110100: 49
11001111110001110101: 4a
11001111110001110110: 4b
11001111110001110111: 4c
11001111110001111000: 4d
11001111110001111001: 4e
11001111110001111010: 4f
11001111110001111011: 50
11001111110001111100: 51
11001111110001111101: 52
11001111110001111110: 53
11001111110001111111: 54
11001111110010000000: 55
11001111110010000001: 56
11001111110010000010: 57
1100111110: 58
11001111110010000011: 59
11001111110010000100: 5a
11001111110010000101: 5b
11001111110010000110: 5c
11001111110010000111: 5d
11001111110010001000: 5e
11001111110010001001: 5f
11001111110010001010: 60
11001111110010001011: 61
11001111110010001100: 62
11001111110010001101: 63
11001111110010001110: 64
11001111110010001111: 65
11001111110010010000: 66
11001111110010010001: 67
11001101001: 68
11001111110010010010: 69
11001111110010010011: 6a
11001111110010010100: 6b
11001111110010010101: 6c
11001111110010010110: 6d
11001111110010010111: 6e
11001111110010011000: 6f
11001101010: 70
11001111110010011001: 71
11001111110010011010: 72
11001111110010011011: 73
11001111110010011100: 74
11001111110010011101: 75
11001111110010011110: 76
11001111110010011111: 77
11001111110010100000: 78
11001111110010100001: 79
11001111110010100010: 7a
11001111110010100011: 7b
11001111110010100100: 7c
11001111110010100101: 7d
11001111110010100110: 7e
11001111110010100111: 7f
11001101011: 80
11001111110010101000: 81
11001111110010101001: 82
11001111110010101010: 83
11001111110010101011: 84
11001111110010101100: 85
11001111110010101101: 86
11001111110010101110: 87
11001111110010101111: 88
11001111110010110000: 89
11001111110010110001: 8a
11001111110010110010: 8b
11001111110010110011: 8c
11001111110010110100: 8d
11001111110010110101: 8e
11001111110010110110: 8f
11001111110010110111: 90
11001111110010111000: 91
11001101100: 92
11001111110010111001: 93
11001111110010111010: 94
11001111110010111011: 95
11001111110010111100: 96
11001111110010111101: 97
11001111110010111110: 98
11001111110010111111: 99
11001111110011000000: 9a
11001111110011000001: 9b
11001101101: 9c
11001111110011000010: 9d
11001111110011000011: 9e
11001111110011000100: 9f
11001111110011000101: a0
11001111110011000110: a1
11001111110011000111: a2
11001111110011001000: a3
11001101110: a4
11001111110011001001: a5
11001111110011001010: a6
11001111110011001011: a7
11001111110011001100: a8
11001111110011001101: a9
11001101111: aa
11001111110011001110: ab
11001111110011001111: ac
11001111110011010000: ad
0011: ae
11001111110011010001: af
11001111110011010010: b0
11001111110011010011: b1
11001111110011010100: b2
11001111110011010101: b3
11001111110011010110: b4
11001111110011010111: b5
11001111110011011000: b6
11001111110011011001: b7
11001111110011011010: b8
11001111110011011011: b9
11001111110011011100: ba
11001111110011011101: bb
11001111110011011110: bc
11001111110011011111: bd
11001111110011100000: be
11001111110011100001: bf
11001111110011100010: c0
11001111110011100011: c1
11001111110011100100: c2
11001111110011100101: c3
11001111110011100110: c4
11001111110011100111: c5
11001111110011101000: c6
11001111110011101001: c7
11001111110011101010: c8
11001111110011101011: c9
11001111110011101100: ca
11001111110011101101: cb
11001111110011101110: cc
11001111110011101111: cd
11001111110011110000: ce
11001111110011110001: cf
0000: d0
11001111110011110010: d1
11001111110011110011: d2
11001111110011110100: d3
11001111110011110101: d4
11001111110011110110: d5
11001111110011110111: d6
11001111110011111000: d7
11001111110011111001: d8
11001111110011111010: d9
11001111110011111011: da
11001111110011111100: db
11001111110011111101: dc
11001111110011111110: dd
00011: de
11001111110011111111: df
1100111111000000000: e0
1100111111000000001: e1
1100111111000000010: e2
1100111111000000011: e3
1100111111000000100: e4
1100111111000000101: e5
1100111111000000110: e6
1100111111000000111: e7
11001111000: e8
1100111111000001000: e9
1100111111000001001: ea
1100111111000001010: eb
1100111111000001011: ec
1100111111000001100: ed
1100111111000001101: ee
1100111111000001110: ef
1100111111000001111: f0
1100111111000010000: f1
1100111111000010001: f2
1100111111000010010: f3
1100111111000010011: f4
1100111111000010100: f5
1100111111000010101: f6
1100111111000010110: f7
1100111111000010111: f8
1100111111000011000: f9
11001111001: fa
1100111111000011001: fb
1100111111000011010: fc
1100111111000011011: fd
11000: fe
11001100: ff
