110: 00
1011111: 01
00: 02
11100: 03
01100: 04
100100: 05
101111000110000: 06
101111000110001: 07
101111000110010: 08
101111000110011: 09
101111000110100: 0a
101111000110101: 0b
101111000110110: 0c
101111000110111: 0d
101111000111000: 0e
101111000111001: 0f
101111000111010: 10
010: 11
101111000111011: 12
101111000111100: 13
100101: 14
101111000111101: 15
101111000111110: 16
101111000111111: 17
100110: 18
101111001000000: 19
101111001000001: 1a
101111001000010: 1b
101111001000011: 1c
101111001000100: 1d
101111001000101: 1e
101111001000110: 1f
101111001000111: 20
101111001001000: 21
100111: 22
101111001001001: 23
101111001001010: 24
101111001001011: 25
101000: 26
101111001001100: 27
101001: 28
101111001001101: 29
101111001001110: 2a
101111001001111: 2b
101111001010000: 2c
101111001010001: 2d
101111001010010: 2e
101111001010011: 2f
101111001010100: 30
101111001010101: 31
101111001010110: 32
01101: 33
101111001010111: 34
101111001011000: 35
101111001011001: 36
101111001011010: 37
01110: 38
101111001011011: 39
101111001011100: 3a
101111001011101: 3b
101111001011110: 3c
101111001011111: 3d
101111001100000: 3e
101111001100001: 3f
101111001100010: 40
101111001100011: 41
101111001100100: 42
101111001100101: 43
101111001100110: 44
101111001100111: 45
101111001101000: 46
101111001101001: 47
101111001101010: 48
101111001101011: 49
101111001101100: 4a
101111001101101: 4b
101111001101110: 4c
101111001101111: 4d
101111001110000: 4e
101111001110001: 4f
101111001110010: 50
101111001110011: 51
101111001110100: 52
101111001110101: 53
101111001110110: 54
101111001110111: 55
101111001111000: 56
101111001111001: 57
11101: 58
101111001111010: 59
101111001111011: 5a
101111001111100: 5b
101111001111101: 5c
101111001111110: 5d
101111001111111: 5e
101111010000000: 5f
101111010000001: 60
101111010000010: 61
101111010000011: 62
101111010000100: 63
101111010000101: 64
101111010000110: 65
101111010000111: 66
101111010001000: 67
101111010001001: 68
101111010001010: 69
101111010001011: 6a
101111010001100: 6b
101111010001101: 6c
101111010001110: 6d
101111010001111: 6e
101111010010000: 6f
101111010010001: 70
101111010010010: 71
101111010010011: 72
101111010010100: 73
101111010010101: 74
101111010010110: 75
101111010010111: 76
101111010011000: 77
101111010011001: 78
101111010011010: 79
101111010011011: 7a
101111010011100: 7b
101111010011101: 7c
101111010011110: 7d
101111010011111: 7e
101111010100000: 7f
101010: 80
101111010100001: 81
101111010100010: 82
101111010100011: 83
101111010100100: 84
101111010100101: 85
101111010100110: 86
101111010100111: 87
101111010101000: 88
101111010101001: 89
101111010101010: 8a
101111010101011: 8b
101111010101100: 8c
101111010101101: 8d
101111010101110: 8e
101111010101111: 8f
101111010110000: 90
101111010110001: 91
101011: 92
101111010110010: 93
101111010110011: 94
101111010110100: 95
101111010110101: 96
101111010110110: 97
101111010110111: 98
101111010111000: 99
101111010111001: 9a
101111010111010: 9b
101111010111011: 9c
101111010111100: 9d
101111010111101: 9e
101111010111110: 9f
101111010111111: a0
101111011000000: a1
101111011000001: a2
101111011000010: a3
101100: a4
101111011000011: a5
101111011000100: a6
101111011000101: a7
101111011000110: a8
101111011000111: a9
101111011001000: aa
101111011001001: ab
101111011001010: ac
101111011001011: ad
01111: ae
101111011001100: af
101111011001101: b0
101111011001110: b1
101111011001111: b2
101111011010000: b3
101111011010001: b4
101111011010010: b5
101111011010011: b6
101111011010100: b7
101111011010101: b8
101111011010110: b9
101111011010111: ba
101111011011000: bb
101111011011001: bc
101111011011010: bd
101111011011011: be
101111011011100: bf
101111011011101: c0
101111011011110: c1
101111011011111: c2
101111011100000: c3
101111011100001: c4
101111011100010: c5
101111011100011: c6
101111011100100: c7
101111011100101: c8
101111011100110: c9
101111011100111: ca
101111011101000: cb
101111011101001: cc
101111011101010: cd
101111011101011: ce
101111011101100: cf
10000: d0
101111011101101: d1
101111011101110: d2
101111011101111: d3
101111011110000: d4
101111011110001: d5
101111011110010: d6
101111011110011: d7
101111011110100: d8
101111011110101: d9
101111011110110: da
101111011110111: db
101111011111000: dc
101111011111001: dd
101101: de
101111011111010: df
101111011111011: e0
101111011111100: e1
101111011111101: e2
101111011111110: e3
101111011111111: e4
10111100000000: e5
10111100000001: e6
10111100000010: e7
10111100000011: e8
10111100000100: e9
10111100000101: ea
10111100000110: eb
10111100000111: ec
10111100001000: ed
10111100001001: ee
10111100001010: ef
10111100001011: f0
10111100001100: f1
10111100001101: f2
10111100001110: f3
10111100001111: f4
10111100010000: f5
10111100010001: f6
10111100010010: f7
10111100010011: f8
10111100010100: f9
101110: fa
10111100010101: fb
10111100010110: fc
10111100010111: fd
10001: fe
1111: ff
